n,clFFT,DirectX,OpenGL,OpenCL
64,93,38.5,29.4,49.7
128,108,50.5,50.3,55.2
256,165,97.3,91.2,104.1
512,366,402.8,411.4,430.9
1024,1314,2853.1,3010.2,3022
2048,4737,28982.5,30544.8,34383.7
4096,20838,204609.1,,207172
8192,1741941,1017549.7,,1012305.6
